                                                                            	CentOS6/run-1 vs CentOS7/run-1	CentOS5/run-1 vs CentOS7/run-1	CentOS5/run-1 vs CentOS6/run-1	
T2w/T2wToT1wDistortionCorrectAndReg/T1w_acpc.nii.gz                         	              0.0041939793               	              0.0041939793               	              0               	
T2w/T2wToT1wDistortionCorrectAndReg/T2w_acpc_brain.nii.gz                   	              0.0528333669               	              0.0528333669               	              0               	
T1w/T1w_acpc_dc_restore_brain_1mm.nii.gz                                    	              0.01777596               	              0.0177842371               	              0.0007558249               	
T1w/T1w_acpc_dc_restore_1mm.nii.gz                                          	              0.0052471267               	              0.0050825025               	              0.0022870189               	
T1w/subject_name/mri/T1w_hires.nii.gz                                       	              0.0048283458               	              0.0046674842               	              0.0020954779               	
T1w/subject_name/mri/aseg.hires.nii.gz                                      	              0.0429619758               	              0.0409845819               	              0.0402398322               	
T1w/subject_name/mri/T2w_hires.nii.gz                                       	              0.0177518813               	              0.0177959207               	              0.0082808465               	
T1w/subject_name/mri/T1wMulT2w_hires.nii.gz                                 	              0.0153573698               	              0.0154452868               	              0.0069137865               	
T1w/subject_name/mri/wm.hires.nii.gz                                        	              0.2792365959               	              0.2673404503               	              0.27757085               	
T1w/subject_name/mri/T1w_hires.norm.nii.gz                                  	              0.0048569265               	              0.0046815365               	              0.0021350525               	
T1w/subject_name/mri/T2w_hires.norm.nii.gz                                  	              0.0177588081               	              0.0177920173               	              0.0082887557               	
T1w/subject_name/surf/lh.white.nii.gz                                       	              0.0953519974               	              0.0902413858               	              0.0916944842               	
T1w/subject_name/surf/rh.white.nii.gz                                       	              0.0876963192               	              0.0870859821               	              0.0871397023               	
T1w/subject_name/mri/ribbon.postT2.pass1/lh.ribbon.nii.gz                   	              0.2065218197               	              0.2052206314               	              0.2012437825               	
T1w/subject_name/mri/ribbon.postT2.pass1/rh.ribbon.nii.gz                   	              0.2202995976               	              0.2060775164               	              0.2169021633               	
T1w/subject_name/mri/ribbon.postT2.pass1/ribbon.nii.gz                      	              0.3015786369               	              0.289909107               	              0.2954877401               	
T1w/subject_name/mri/ribbon.postT2.pass1/ribbon_s5.nii.gz                   	              0.0204509327               	              0.0134359064               	              0.0232489397               	
T1w/subject_name/mri/ribbon.postT2.pass1/T1w_hires.norm_ribbon.nii.gz       	              0.1398440337               	              0.1274412594               	              0.1279926621               	
T1w/subject_name/mri/ribbon.postT2.pass1/ribbon_inv.nii.gz                  	              0.3015786369               	              0.289909107               	              0.2954877401               	
T1w/subject_name/mri/ribbon.postT2.pass1/T1w_hires.norm_ribbon_myelin.nii.gz	              0.033462117               	              0.0305728264               	              0.0317704582               	
T1w/subject_name/mri/white.nii.gz                                           	              0.1761520316               	              0.1753066801               	              0.1691768753               	
T1w/subject_name/mri/ribbon.postT2.pass1/dilribbon_inv.nii.gz               	              0.1633982046               	              0.1550030558               	              0.164913829               	
T1w/subject_name/mri/T1w_hires.norm_grey_myelin.nii.gz                      	              0.0357103371               	              0.0327123084               	              0.033524546               	
T1w/subject_name/mri/ribbon.postT2.pass1/T1w_hires.greynorm_ribbon.nii.gz   	              0.0056821316               	              0.0054705128               	              0.0034424055               	
T1w/subject_name/mri/T1w_hires.greynorm.nii.gz                              	              0.0055111708               	              0.0052955483               	              0.0031767984               	
