"","SUB 1","SUB 2","SUB 3","SUB 4","SUB 5","SUB 6","SUB 7","SUB 8","SUB 9","SUB 10","SUB 11","SUB 12","SUB 13","SUB 14","SUB 15","SUB 16","SUB 17","SUB 18","SUB 19","SUB 20","","MEAN","MIN","MAX","STD","VOXELS"
"13","0.93673110720562","0.97277255118982","0.93613933236575","0.99246349505417","0.97673545966229","0.95222648186376","0.95239064089522","0.99058359794153","0.94230159568847","0.99803011115801","0.82140305757965","0.95746062672512","0.97993492407809","0.91989691828627","0.84708712477774","0.97203495630462","0.99386647794291","0.91211048967013","0.65484536082474","0.91609353507565","Left-Pallidum","0.93125539221448","0.65484536082474","0.99803011115801","0.079966728783875","4394"
"31","0.92321644498186","0.98718473074301","0.97903648457972","0.97418948693736","0.93475177304964","0.93258426966292","0.97112394491337","0.93243886192787","0.91684254959899","0.94429060107509","0.94983050847458","0.96875378466755","0.92087454450807","0.97802197802198","0.96618575293057","0.94784071789119","0.9258975586405","0.98579545454545","0.94149945093341","0.98984316654219","Left-choroid-plexus ","0.95351010323127","0.91684254959899","0.98984316654219","0.02457878511353","4140"
"15","0.97992932862191","0.99183322587578","0.99134322003832","0.9848623853211","0.97679708826206","0.98525073746313","0.79358682319958","0.94612203984463","0.98233095480802","0.98837209302326","0.94664634146341","0.99414919551438","0.95818651632605","0.82026221692491","0.96925287356322","0.92098652660425","0.97590361445783","0.92553379212987","0.95985130111524","0.97854119499951","4th-Ventricle   ","0.95348707347782","0.79358682319958","0.99414919551438","0.054550203752418","4001"
"77","0.89554594742983","0.93041283576708","0.79847507331378","0.92339832869081","0.87920792079208","0.98110661268556","0.94621026894866","0.94427934621099","0.83529411764706","0.93997746594285","0.73361634385779","0.9728373191615","0.62368177613321","0.84130557118739","0.98865394533264","0.90257104194858","0.84274036590113","0.65889101338432","0.015514229939381","0.81966544267646","WM-hypointensities ","0.82366924834755","0.015514229939381","0.98865394533264","0.21557710102178","3905"
"24","0.98469032707029","0.92218026596618","0.98417894162575","0.90358974358974","0.97738287560582","0.9698198929093","0.96528412205372","0.95776181145221","0.96209587513935","0.9804537521815","0.99557522123894","0.93781272337384","0.97785217615246","0.95595945473611","0.9476478125572","0.94740686632578","0.9173038799207","0.95340565534412","0.94409058740269","0.96397563820137","CSF","0.95742338114235","0.90358974358974","0.99557522123894","0.024135144466915","3081"
"251","0.98683344305464","0.98167539267016","0.98293376676148","0.99389038634322","0.97363216875412","0.9978114741285","0.98024591816166","0.98430425596136","0.99475551442234","0.99929725931131","0.99638074556641","0.94114574264322","0.98009519688447","0.998590159312","0.98938589840788","0.98351733789457","0.9793400286944","0.88895899053628","0.99800066644452","0.97962382445141","CC_Posterior ","0.9805209085202","0.88895899053628","0.99929725931131","0.02518274120951","3071"
"255","0.98387096774194","0.97560975609756","0.98893174576555","0.99856476498027","0.96594134342479","0.99567901234568","0.98260073260073","0.98329238329238","0.99695214873514","0.98330550918197","0.990727532097","0.99049024430234","0.9319678127286","0.95903393457658","0.9641317948005","0.97965600147956","0.98186933416693","0.8820704375667","0.895695741289","0.98918362091167","CC_Anterior  ","0.97097874090424","0.8820704375667","0.99856476498027","0.032117675394662","2976"
"58","0.95782073813708","0.89587959536146","0.97440585009141","0.94804010938924","0.9586038961039","0.99884593190998","0.90893596299002","0.9036496350365","0.95475113122172","0.94409638554217","0.95062972292191","0.92070002734482","0.9577934098482","0.99122807017544","0.86892518652954","0.93106347204708","0.91855203619909","0.94774819606867","0.96007452754858","0.97956463793869","Right-Accumbens-area ","0.94356542612027","0.86892518652954","0.99884593190998","0.032954742395463","2075"
"14","0.94253790901836","0.91009988901221","0.95953986513288","0.99644760213144","0.97781810848961","0.97509727626459","0.94706262104584","0.946017994002","0.98575647038388","0.99144336861067","0.93640104751216","0.92677491244826","0.91518034086405","0.87742672249715","0.94486899563319","0.7089715536105","0.96937212863706","0.94810659186536","0.95141937371964","0.99907749077491","3rd-Ventricle ","0.94047101308269","0.7089715536105","0.99907749077491","0.062668083585191","1941"
"26","0.98215577525922","0.96020466173962","0.93428912783751","0.81189189189189","0.98277511961722","0.90042194092827","0.96791443850267","0.86296715741789","0.9323283082077","0.99037243476058","0.98245614035088","0.84224519940916","0.97460561754521","0.90257252326218","0.99429477020602","0.86423220973783","0.97248157248157","0.95805058605799","0.93003886729595","0.96563245823389","Left-Accumbens-area ","0.93559654003716","0.81189189189189","0.99429477020602","0.05415871821646","1812"
