Right-Cerebellum-White-Matter,Right-Ventral-DC,Right-Cerebral-Cortex,Right-Choroid-Plexus,Left-Putamen,Left-Amygdala,Left-Cerebral-White-Matter,Non-WM-hypointensities,CC_Mid_Anterior,Left-Cerebellum-White-Matter,Right-Putamen,Right-Thalamus-Proper,Left-Accumbens-area,Right-Pallidum,Right-Amygdala,Left-Ventral-DC,Background,Right-Accumbens-area,Optic-Chiasm,Right-Cerebral-White-Matter,Left-Cerebellum-Cortex,CC_Mid_Posterior,Left-Lateral-Ventricle,Right-Inf-Lateral-Ventricle,Left-Cerebral-Cortex,CC_Central,CSF,Brain-Stem,Right-Cerebellum-Cortex,Right-Hippocampus,Left-vessel,Right-Caudate,Left-Choroid-Plexus,CC_Posterior,Left-Caudate,Right-Lateral-Ventricle,Left-Thalamus-Proper,Left-Inf-Lateral-Ventricle,4th-Ventricle,Left-Hippocampus,Right-vessel,WM-hypointensities,3rd-Ventricle,CC_Anterior,Left-Pallidum
32379,12759,688438,3255,14488,4103,532581,9,1570,34114,15358,21246,1299,3796,4147,12879,17956504,1350,397,542272,138333,1324,5934,763,688894,1880,1941,68488,138528,12744,38,9863,3842,2311,10146,5878,23674,365,2128,13009,163,2702,1261,2734,3688
0.99984,0.99059,0.99569,0.91868,0.96466,0.93498,0.98291,0.0,0.9258,0.99912,0.96127,0.95897,0.90257,0.98578,0.95906,0.9822,0.99966,0.99123,0.94199,0.99688,0.99917,0.99289,0.96861,0.75254,0.9941,0.94771,0.95596,0.97863,0.99956,0.99905,0.80282,0.94862,0.97802,0.99859,0.99047,0.92674,0.99077,0.46237,0.82026,0.98539,0.75251,0.84131,0.87743,0.95903,0.9199
50225,14233,816930,3148,16470,4737,712182,8,2412,49077,17274,22741,1827,5064,5398,13200,17213758,2052,793,734696,170565,2530,6754,246,806075,2601,2861,68469,170162,13629,248,12903,3685,3546,12795,4668,25897,46,2097,13755,149,4442,1313,3271,4656
0.95246,0.96666,0.99719,0.99292,0.96012,0.92077,0.99278,0.66154,0.99548,0.98969,0.99216,0.91974,0.99429,0.96665,0.99714,0.98046,0.99925,0.86893,0.96404,0.99741,0.99629,0.99459,0.99245,0.91225,0.99767,0.96388,0.94765,0.98665,0.99251,0.99356,0.78404,0.99468,0.96619,0.98939,0.98252,0.99905,0.98758,0.96943,0.96925,0.99591,0.94245,0.98865,0.94487,0.96413,0.84709
38770,12896,956406,5505,17076,5010,766001,32,1769,35581,17210,22015,1577,4738,5236,12540,16774157,2479,723,788694,168619,1110,40953,330,964766,1190,5463,58594,164958,13819,213,11845,4436,3297,10871,41060,25678,621,6960,14174,278,3878,3664,3596,4780
0.97421,0.99919,0.99763,0.8858,0.99697,0.97286,0.98412,0.98058,0.96559,0.99333,0.9717,0.98741,0.86423,0.97674,0.93243,0.991,0.99888,0.93106,0.80519,0.99435,0.9968,0.98641,0.97787,0.98718,0.99555,0.99079,0.94741,0.99228,0.99427,0.99205,0.77994,0.98689,0.94784,0.98352,0.99391,0.96486,0.9954,0.92105,0.92099,0.97572,0.83019,0.90257,0.70897,0.97966,0.97203
40593,12322,757188,5262,21129,3352,586830,51,1337,40917,20038,20896,2136,4127,3818,11665,17683371,2379,713,603045,139209,1472,11929,156,739274,1628,1369,60509,146177,10688,309,13955,3566,3215,14283,6488,21716,380,2189,9845,530,5912,914,2703,4005
0.92604,0.97233,0.99567,0.99605,0.98986,0.96061,0.993,0.5,0.98467,0.95342,0.99634,0.95118,0.97248,0.95829,0.95547,0.98342,0.99969,0.91855,0.632,0.99335,0.98295,0.92829,0.997,0.68116,0.99607,0.98189,0.9173,0.99678,0.99237,0.99126,0.22892,0.98329,0.9259,0.97934,0.99246,0.98067,0.98026,0.96791,0.9759,0.98689,0.73375,0.84274,0.96937,0.98187,0.99387
40981,13515,857756,4811,19231,5230,679637,16,1696,38859,18601,22511,2035,4507,5165,12906,17178824,2210,875,705771,176001,1408,27655,310,830890,1490,3531,65780,177613,14301,83,13582,5222,3485,12733,20275,23606,374,3444,13878,161,2569,2612,3199,4239
0.99474,0.96539,0.99614,0.97802,0.8135,0.9969,0.99602,0.56522,0.97926,0.98192,0.99079,0.98633,0.95805,0.94519,0.97352,0.94536,0.99939,0.94775,0.82498,0.99493,0.99924,0.94239,0.97639,0.94652,0.99579,0.99321,0.95341,0.98242,0.99946,0.98541,0.67742,0.99254,0.9858,0.88896,0.9871,0.99064,0.97686,0.71989,0.92553,0.99705,0.87755,0.65889,0.94811,0.88207,0.91211
40510,12510,844360,3320,15769,5164,687622,23,2025,41695,17159,22677,1621,4834,4984,12884,17218225,2009,668,711300,163842,2083,11225,280,843102,2357,2811,60530,166182,14123,62,12469,3520,3170,12089,17734,26572,357,2833,13882,220,5230,1426,3748,4380
0.97814,0.90629,0.99055,0.83119,0.96479,0.99271,0.96811,0.11111,0.96219,0.95541,0.85818,0.94184,0.93004,0.7619,0.92772,0.99481,0.99977,0.96007,0.80847,0.99865,0.99584,0.98683,0.98159,0.91936,0.99074,0.90842,0.94409,0.98897,0.99614,0.98836,0.85273,0.9526,0.9415,0.998,0.91748,0.96846,0.94884,0.93126,0.95985,0.98755,0.60137,0.01551,0.95142,0.8957,0.65485
40705,12357,648873,5130,15905,4387,590343,31,1084,38929,16337,20322,1801,5040,4870,12136,17871388,1878,861,609275,138221,1290,17435,1624,645653,1146,2826,60816,140686,11513,210,10443,5008,3001,9913,20196,22497,1207,2690,11650,291,4866,1708,2195,4850
0.96068,0.99358,0.99885,0.99461,0.96928,0.94842,0.9851,0.73333,0.95611,0.96633,0.97012,0.92456,0.96563,0.9679,0.98173,0.99413,0.99825,0.97956,0.82943,0.98958,0.97204,0.96713,0.98081,0.94783,0.98848,0.94508,0.96398,0.99461,0.97794,0.96969,0.94833,0.98902,0.98984,0.97962,0.99409,0.98766,0.99894,0.93808,0.97854,0.99524,0.98194,0.81967,0.99908,0.98918,0.91609
46744,15572,980574,6869,20377,6959,885219,15,1777,45059,22359,29016,2095,5359,6843,15674,16403040,2251,662,899028,200777,2312,18599,460,979363,1748,3858,72382,193411,16597,522,13844,6695,3828,13538,23896,34112,646,5079,16815,387,7353,2168,3883,5816
