                                                                                    	run-1 vs run-2	
T1w/subject_name/mri/aseg.auto.mgz                                                  	      4       	
T1w/subject_name/touch/asegmerge.touch                                              	      0       	
T1w/subject_name/mri/aseg.mgz                                                       	      4       	
T1w/subject_name/mri/brain.mgz                                                      	      4       	
T1w/subject_name/touch/inorm2.touch                                                 	      0       	
T1w/subject_name/mri/brain.finalsurfs.mgz                                           	      4       	
T1w/subject_name/mri/segment.dat                                                    	      0       	
T1w/subject_name/mri/wm.seg.mgz                                                     	      4       	
T1w/subject_name/mri/wm.asegedit.mgz                                                	      4       	
T1w/subject_name/touch/wmsegment.touch                                              	      0       	
T1w/subject_name/mri/wm.mgz                                                         	      4       	
T1w/subject_name/mri/filled.mgz                                                     	      4       	
T1w/subject_name/scripts/ponscc.cut.log                                             	      0       	
T1w/subject_name/touch/fill.touch                                                   	      0       	
T1w/subject_name/surf/lh.orig.nofix                                                 	      4       	
T1w/subject_name/touch/lh.tessellate.touch                                          	      0       	
T1w/subject_name/touch/lh.smoothwm1.touch                                           	      0       	
T1w/subject_name/surf/lh.smoothwm.nofix                                             	      4       	
T1w/subject_name/touch/lh.inflate1.touch                                            	      0       	
T1w/subject_name/surf/lh.inflated.nofix                                             	      4       	
T1w/subject_name/touch/lh.qsphere.touch                                             	      0       	
T1w/subject_name/surf/lh.qsphere.nofix                                              	      4       	
T1w/subject_name/surf/lh.defect_borders                                             	      0       	
T1w/subject_name/surf/lh.defect_chull                                               	      0       	
T1w/subject_name/surf/lh.defect_labels                                              	      0       	
T1w/subject_name/touch/lh.topofix.touch                                             	      0       	
T1w/subject_name/surf/lh.orig                                                       	      4       	
T1w/subject_name/surf/lh.white.prehires                                             	      4       	
T1w/subject_name/label/lh.cortex.prehires.label                                     	      0       	
T1w/subject_name/surf/lh.curv.prehires                                              	      0       	
T1w/subject_name/surf/lh.area.prehires                                              	      0       	
T1w/subject_name/touch/lh.final_surfaces.touch                                      	      0       	
T1w/subject_name/touch/lh.white_surface.touch                                       	      0       	
T1w/subject_name/surf/rh.orig.nofix                                                 	      4       	
T1w/subject_name/touch/rh.tessellate.touch                                          	      0       	
T1w/subject_name/touch/rh.smoothwm1.touch                                           	      0       	
T1w/subject_name/surf/rh.smoothwm.nofix                                             	      4       	
T1w/subject_name/surf/rh.inflated.nofix                                             	      4       	
T1w/subject_name/touch/rh.inflate1.touch                                            	      0       	
T1w/subject_name/surf/rh.qsphere.nofix                                              	      4       	
T1w/subject_name/touch/rh.qsphere.touch                                             	      0       	
T1w/subject_name/surf/rh.defect_chull                                               	      0       	
T1w/subject_name/surf/rh.defect_borders                                             	      0       	
T1w/subject_name/surf/rh.defect_labels                                              	      0       	
T1w/subject_name/surf/rh.orig                                                       	      4       	
T1w/subject_name/touch/rh.topofix.touch                                             	      0       	
T1w/subject_name/surf/rh.white.prehires                                             	      4       	
T1w/subject_name/label/rh.cortex.prehires.label                                     	      0       	
T1w/subject_name/surf/rh.area.prehires                                              	      0       	
T1w/subject_name/surf/rh.curv.prehires                                              	      0       	
T1w/subject_name/touch/rh.white_surface.touch                                       	      0       	
T1w/subject_name/touch/rh.final_surfaces.touch                                      	      0       	
T1w/subject_name/mri/T1w_hires.nii.gz                                               	      0       	
T1w/subject_name/mri/transforms/hires21mm.dat                                       	      0       	
T1w/subject_name/surf/lh.white.hires                                                	      4       	
T1w/subject_name/surf/rh.white.hires                                                	      4       	
T1w/subject_name/mri/wm.hires.mgz                                                   	      0       	
T1w/subject_name/mri/filled.hires.mgz                                               	      0       	
T1w/subject_name/mri/brain.hires.mgz                                                	      0       	
T1w/subject_name/mri/aseg.hires.mgz                                                 	      0       	
T1w/subject_name/mri/T1w_hires.masked.mgz                                           	      0       	
T1w/subject_name/mri/aseg.hires.nii.gz                                              	      0       	
T1w/subject_name/scripts/control.hires.dat                                          	      0       	
T1w/subject_name/mri/T1w_hires.masked.norm.mgz                                      	      4       	
T1w/subject_name/surf/lh.white.deformed                                             	      4       	
T1w/subject_name/label/lh.cortex.deformed.label                                     	      0       	
T1w/subject_name/label/lh.cortex.label                                              	      0       	
T1w/subject_name/surf/lh.curv                                                       	      0       	
T1w/subject_name/surf/lh.curv.deformed                                              	      0       	
T1w/subject_name/surf/lh.area                                                       	      0       	
T1w/subject_name/surf/lh.area.deformed                                              	      0       	
T1w/subject_name/surf/rh.white.deformed                                             	      4       	
T1w/subject_name/label/rh.cortex.label                                              	      0       	
T1w/subject_name/label/rh.cortex.deformed.label                                     	      0       	
T1w/subject_name/surf/rh.area                                                       	      0       	
T1w/subject_name/surf/rh.curv.deformed                                              	      0       	
T1w/subject_name/mri/transforms/eye.dat                                             	      0       	
T1w/subject_name/surf/rh.curv                                                       	      0       	
T1w/subject_name/surf/rh.area.deformed                                              	      0       	
T1w/subject_name/mri/transforms/T2wtoT1w.dat.param                                  	      0       	
T1w/subject_name/mri/transforms/T2wtoT1w.dat.mincost                                	      0       	
T1w/subject_name/mri/transforms/T2wtoT1w.dat~                                       	      0       	
T1w/subject_name/mri/transforms/T2wtoT1w.dat.sum                                    	      4       	
T1w/subject_name/mri/transforms/T2wtoT1w.dat.log                                    	      4       	
T1w/subject_name/mri/transforms/T2wtoT1w.dat                                        	      0       	
T1w/subject_name/mri/transforms/T2wtoT1w.mat                                        	      0       	
T1w/subject_name/mri/T2w_hires.nii.gz                                               	      0       	
T1w/subject_name/mri/T1wMulT2w_hires.nii.gz                                         	      0       	
T1w/subject_name/mri/transforms/1mm2hires.dat                                       	      0       	
T1w/subject_name/surf/lh.white                                                      	      4       	
T1w/subject_name/surf/rh.white                                                      	      4       	
T1w/subject_name/scripts/recon-all.env.bak                                          	      4       	
T1w/subject_name/surf/lh.smoothwm                                                   	      4       	
T1w/subject_name/touch/lh.smoothwm2.touch                                           	      0       	
T1w/subject_name/surf/lh.sulc                                                       	      0       	
T1w/subject_name/surf/lh.inflated                                                   	      4       	
T1w/subject_name/touch/lh.inflate2.touch                                            	      0       	
T1w/subject_name/surf/lh.inflated.H                                                 	      4       	
T1w/subject_name/surf/lh.inflated.K                                                 	      4       	
T1w/subject_name/surf/lh.smoothwm.C.crv                                             	      0       	
T1w/subject_name/surf/lh.smoothwm.S.crv                                             	      0       	
T1w/subject_name/stats/lh.curv.stats                                                	      0       	
T1w/subject_name/surf/lh.smoothwm.K.crv                                             	      0       	
T1w/subject_name/surf/lh.smoothwm.K1.crv                                            	      0       	
T1w/subject_name/surf/lh.smoothwm.K2.crv                                            	      0       	
T1w/subject_name/touch/lh.curvstats.touch                                           	      0       	
T1w/subject_name/surf/lh.smoothwm.H.crv                                             	      0       	
T1w/subject_name/surf/lh.smoothwm.BE.crv                                            	      0       	
T1w/subject_name/surf/lh.smoothwm.FI.crv                                            	      0       	
T1w/subject_name/surf/lh.sphere                                                     	      4       	
T1w/subject_name/touch/lh.sphmorph.touch                                            	      0       	
T1w/subject_name/touch/lh.sphreg.touch                                              	      0       	
T1w/subject_name/surf/lh.sphere.reg                                                 	      4       	
T1w/subject_name/surf/lh.jacobian_white                                             	      0       	
T1w/subject_name/touch/lh.jacobian_white.touch                                      	      0       	
T1w/subject_name/touch/lh.avgcurv.touch                                             	      0       	
T1w/subject_name/surf/lh.avg_curv                                                   	      0       	
T1w/subject_name/touch/lh.aparc.touch                                               	      0       	
T1w/subject_name/label/lh.aparc.annot                                               	      0       	
T1w/subject_name/touch/rh.smoothwm2.touch                                           	      0       	
T1w/subject_name/surf/rh.smoothwm                                                   	      4       	
T1w/subject_name/surf/rh.inflated                                                   	      4       	
T1w/subject_name/surf/rh.sulc                                                       	      0       	
T1w/subject_name/surf/rh.inflated.K                                                 	      4       	
T1w/subject_name/surf/rh.inflated.H                                                 	      4       	
